Service,Date,Users
HXL,5/1/2018,190.00
HXL,6/1/2018,113.00
HXL,7/1/2018,43.00
HXL,8/1/2018,297.00
HXL,9/1/2018,65.00
HXL,10/1/2018,63.00
HXL,11/1/2018,59.00
HXL,12/1/2018,48.00
HXL,1/1/2019,9.00
HXL,2/1/2019,0.00
IASC Gender with Age Marker (GAM),1/1/2018,
IASC Gender with Age Marker (GAM),2/1/2018,
IASC Gender with Age Marker (GAM),3/1/2018,
IASC Gender with Age Marker (GAM),4/1/2018,
IASC Gender with Age Marker (GAM),5/1/2018,
IASC Gender with Age Marker (GAM),6/1/2018,
IASC Gender with Age Marker (GAM),7/1/2018,
IASC Gender with Age Marker (GAM),8/1/2018,
IASC Gender with Age Marker (GAM),9/1/2018,
IASC Gender with Age Marker (GAM),10/1/2018,
IASC Gender with Age Marker (GAM),11/1/2018,
IASC Gender with Age Marker (GAM),12/1/2018,
IASC Gender with Age Marker (GAM),1/1/2019,
IASC Gender with Age Marker (GAM),2/1/2019,
IASC Inter-Agency Standing Committee,1/1/2018,"8,964.00"
IASC Inter-Agency Standing Committee,2/1/2018,"10,061.00"
IASC Inter-Agency Standing Committee,3/1/2018,"10,562.00"
IASC Inter-Agency Standing Committee,4/1/2018,"10,729.00"
IASC Inter-Agency Standing Committee,5/1/2018,"11,417.00"
IASC Inter-Agency Standing Committee,6/1/2018,"10,309.00"
IASC Inter-Agency Standing Committee,7/1/2018,"10,000.00"
IASC Inter-Agency Standing Committee,8/1/2018,"8,869.00"
IASC Inter-Agency Standing Committee,9/1/2018,"9,420.00"
IASC Inter-Agency Standing Committee,10/1/2018,"10,696.00"
IASC Inter-Agency Standing Committee,11/1/2018,"10,553.00"
IASC Inter-Agency Standing Committee,12/1/2018,"8,403.00"
IASC Inter-Agency Standing Committee,1/1/2019,"10,461.00"
IASC Inter-Agency Standing Committee,2/1/2019,"10,843.00"
INSARAG,1/1/2018,"4,296.00"
INSARAG,2/1/2018,"4,260.00"
INSARAG,3/1/2018,"4,870.00"
INSARAG,4/1/2018,"4,875.00"
INSARAG,5/1/2018,"4,956.00"
INSARAG,6/1/2018,"4,604.00"
INSARAG,7/1/2018,"4,418.00"
INSARAG,8/1/2018,"5,008.00"
INSARAG,9/1/2018,"5,579.00"
INSARAG,10/1/2018,"5,980.00"
INSARAG,11/1/2018,"5,390.00"
INSARAG,12/1/2018,"4,651.00"
INSARAG,1/1/2019,"5,010.00"
INSARAG,2/1/2019,"5,273.00"
KoBoToolbox - OCHA Instance,1/1/2018,"16,719.00"
KoBoToolbox - OCHA Instance,2/1/2018,"18,336.00"
KoBoToolbox - OCHA Instance,3/1/2018,"16,001.00"
KoBoToolbox - OCHA Instance,4/1/2018,"16,587.00"
KoBoToolbox - OCHA Instance,5/1/2018,"17,734.00"
KoBoToolbox - OCHA Instance,6/1/2018,"16,828.00"
KoBoToolbox - OCHA Instance,7/1/2018,"16,753.00"
KoBoToolbox - OCHA Instance,8/1/2018,"16,773.00"
KoBoToolbox - OCHA Instance,9/1/2018,"18,445.00"
KoBoToolbox - OCHA Instance,10/1/2018,"19,761.00"
KoBoToolbox - OCHA Instance,11/1/2018,"18,971.00"
KoBoToolbox - OCHA Instance,12/1/2018,"16,516.00"
KoBoToolbox - OCHA Instance,1/1/2019,"18,671.00"
KoBoToolbox - OCHA Instance,2/1/2019,"21,254.00"
OCHA Contribution Tracking (OCT),1/1/2018,"20,031.00"
OCHA Contribution Tracking (OCT),2/1/2018,"20,149.00"
OCHA Contribution Tracking (OCT),3/1/2018,"16,819.00"
OCHA Contribution Tracking (OCT),4/1/2018,760.00
OCHA Contribution Tracking (OCT),5/1/2018,129.00
OCHA Contribution Tracking (OCT),6/1/2018,108.00
OCHA Contribution Tracking (OCT),7/1/2018,112.00
OCHA Contribution Tracking (OCT),8/1/2018,71.00
OCHA Contribution Tracking (OCT),9/1/2018,98.00
OCHA Contribution Tracking (OCT),10/1/2018,107.00
OCHA Contribution Tracking (OCT),11/1/2018,107.00
OCHA Contribution Tracking (OCT),12/1/2018,83.00
OCHA Contribution Tracking (OCT),1/1/2019,111.00
OCHA Contribution Tracking (OCT),2/1/2019,113.00
OCHA Corporate Directory,1/1/2018,
OCHA Corporate Directory,2/1/2018,
OCHA Corporate Directory,3/1/2018,
OCHA Corporate Directory,4/1/2018,
OCHA Corporate Directory,5/1/2018,
OCHA Corporate Directory,6/1/2018,
OCHA Corporate Directory,7/1/2018,
OCHA Corporate Directory,8/1/2018,
OCHA Corporate Directory,9/1/2018,
OCHA Corporate Directory,10/1/2018,
OCHA Corporate Directory,11/1/2018,
OCHA Corporate Directory,12/1/2018,
OCHA Corporate Directory,1/1/2019,
OCHA Corporate Directory,2/1/2019,
OCHA Donor Support Group,1/1/2018,107.00
OCHA Donor Support Group,2/1/2018,74.00
OCHA Donor Support Group,3/1/2018,63.00
OCHA Donor Support Group,4/1/2018,95.00
OCHA Donor Support Group,5/1/2018,81.00
OCHA Donor Support Group,6/1/2018,117.00
OCHA Donor Support Group,7/1/2018,69.00
OCHA Donor Support Group,8/1/2018,48.00
OCHA Donor Support Group,9/1/2018,526.00
OCHA Donor Support Group,10/1/2018,130.00
OCHA Donor Support Group,11/1/2018,113.00
OCHA Donor Support Group,12/1/2018,93.00
OCHA Donor Support Group,1/1/2019,100.00
OCHA Donor Support Group,2/1/2019,91.00
CBPF Grants Management System,1/1/2018,"4,387.00"
CBPF Grants Management System,2/1/2018,"5,002.00"
CBPF Grants Management System,3/1/2018,"4,908.00"
CBPF Grants Management System,4/1/2018,"4,495.00"
CBPF Grants Management System,5/1/2018,"4,388.00"
CBPF Grants Management System,6/1/2018,"4,431.00"
CBPF Grants Management System,7/1/2018,"4,793.00"
CBPF Grants Management System,8/1/2018,"4,788.00"
CBPF Grants Management System,9/1/2018,"4,388.00"
CBPF Grants Management System,10/1/2018,"5,380.00"
CBPF Grants Management System,11/1/2018,"5,108.00"
CBPF Grants Management System,12/1/2018,"4,561.00"
CBPF Grants Management System,1/1/2019,"5,008.00"
CBPF Grants Management System,2/1/2019,"5,169.00"
OCHA Exposure,1/1/2018,"2,131.00"
OCHA Exposure,2/1/2018,653.00
OCHA Exposure,3/1/2018,"1,851.00"
OCHA Exposure,4/1/2018,"2,710.00"
OCHA Exposure,5/1/2018,"3,632.00"
OCHA Exposure,6/1/2018,"3,435.00"
OCHA Exposure,7/1/2018,"5,483.00"
OCHA Exposure,8/1/2018,"1,931.00"
OCHA Exposure,9/1/2018,"2,099.00"
OCHA Exposure,10/1/2018,899.00
OCHA Exposure,11/1/2018,"2,032.00"
OCHA Exposure,12/1/2018,"1,301.00"
OCHA Exposure,1/1/2019,"2,927.00"
OCHA Exposure,2/1/2019,"4,480.00"
OCHAnet,1/1/2018,
OCHAnet,2/1/2018,
OCHAnet,3/1/2018,
OCHAnet,4/1/2018,
OCHAnet,5/1/2018,
OCHAnet,6/1/2018,
OCHAnet,7/1/2018,
OCHAnet,8/1/2018,
OCHAnet,9/1/2018,
OCHAnet,10/1/2018,
OCHAnet,11/1/2018,
OCHAnet,12/1/2018,
OCHAnet,1/1/2019,
OCHAnet,2/1/2019,
Online Project System (OPS) - Archived,1/1/2018,"1,809.00"
Online Project System (OPS) - Archived,2/1/2018,"2,127.00"
Online Project System (OPS) - Archived,3/1/2018,"1,436.00"
Online Project System (OPS) - Archived,4/1/2018,"1,302.00"
Online Project System (OPS) - Archived,5/1/2018,"1,193.00"
Online Project System (OPS) - Archived,6/1/2018,"1,437.00"
Online Project System (OPS) - Archived,7/1/2018,"1,357.00"
Online Project System (OPS) - Archived,8/1/2018,"1,036.00"
Online Project System (OPS) - Archived,9/1/2018,"1,209.00"
Online Project System (OPS) - Archived,10/1/2018,"2,145.00"
Online Project System (OPS) - Archived,11/1/2018,"1,854.00"
Online Project System (OPS) - Archived,12/1/2018,991.00
Online Project System (OPS) - Archived,1/1/2019,"1,122.00"
Online Project System (OPS) - Archived,2/1/2019,2.00
Online Reporting System,1/1/2018,
Online Reporting System,2/1/2018,
Online Reporting System,3/1/2018,
Online Reporting System,4/1/2018,
Online Reporting System,5/1/2018,
Online Reporting System,6/1/2018,
Online Reporting System,7/1/2018,
Online Reporting System,8/1/2018,
Online Reporting System,9/1/2018,
Online Reporting System,10/1/2018,
Online Reporting System,11/1/2018,
Online Reporting System,12/1/2018,
Online Reporting System,1/1/2019,
Online Reporting System,2/1/2019,
Protection of Civilians Aide-Memoire,1/1/2018,0.00
Protection of Civilians Aide-Memoire,2/1/2018,0.00
Protection of Civilians Aide-Memoire,3/1/2018,0.00
Protection of Civilians Aide-Memoire,4/1/2018,0.00
Protection of Civilians Aide-Memoire,5/1/2018,0.00
Protection of Civilians Aide-Memoire,6/1/2018,0.00
Protection of Civilians Aide-Memoire,7/1/2018,0.00
Protection of Civilians Aide-Memoire,8/1/2018,638.00
Protection of Civilians Aide-Memoire,9/1/2018,389.00
Protection of Civilians Aide-Memoire,10/1/2018,126.00
Protection of Civilians Aide-Memoire,11/1/2018,40.00
Protection of Civilians Aide-Memoire,12/1/2018,277.00
Protection of Civilians Aide-Memoire,1/1/2019,248.00
Protection of Civilians Aide-Memoire,2/1/2019,122.00
Redhum,1/1/2018,965.00
Redhum,2/1/2018,732.00
Redhum,3/1/2018,"1,197.00"
Redhum,4/1/2018,"2,992.00"
Redhum,5/1/2018,"3,415.00"
Redhum,6/1/2018,"3,034.00"
Redhum,7/1/2018,"3,277.00"
Redhum,8/1/2018,"2,915.00"
Redhum,9/1/2018,"2,669.00"
Redhum,10/1/2018,"2,639.00"
Redhum,11/1/2018,"3,173.00"
Redhum,12/1/2018,"2,316.00"
Redhum,1/1/2019,"3,899.00"
Redhum,2/1/2019,"3,372.00"
ReliefWeb,1/1/2018,"945,778.00"
ReliefWeb,2/1/2018,"915,151.00"
ReliefWeb,3/1/2018,"947,715.00"
ReliefWeb,4/1/2018,"934,348.00"
ReliefWeb,5/1/2018,"972,544.00"
ReliefWeb,6/1/2018,"868,434.00"
ReliefWeb,7/1/2018,"865,356.00"
ReliefWeb,8/1/2018,"889,414.00"
ReliefWeb,9/1/2018,"895,528.00"
ReliefWeb,10/1/2018,"939,853.00"
ReliefWeb,11/1/2018,"967,792.00"
ReliefWeb,12/1/2018,"709,001.00"
ReliefWeb,1/1/2019,"824,958.00"
ReliefWeb,2/1/2019,"849,383.00"
ReliefWeb Mobile,1/1/2018,0.00
ReliefWeb Mobile,2/1/2018,0.00
ReliefWeb Mobile,3/1/2018,0.00
ReliefWeb Mobile,4/1/2018,0.00
ReliefWeb Mobile,5/1/2018,0.00
ReliefWeb Mobile,6/1/2018,0.00
ReliefWeb Mobile,7/1/2018,"2,271.00"
ReliefWeb Mobile,8/1/2018,"3,422.00"
ReliefWeb Mobile,9/1/2018,"4,506.00"
ReliefWeb Mobile,10/1/2018,"6,480.00"
ReliefWeb Mobile,11/1/2018,"18,852.00"
ReliefWeb Mobile,12/1/2018,"19,694.00"
ReliefWeb Mobile,1/1/2019,"14,745.00"
ReliefWeb Mobile,2/1/2019,"14,766.00"
SARA - Preparedness Tracker,1/1/2018,
SARA - Preparedness Tracker,2/1/2018,
SARA - Preparedness Tracker,3/1/2018,
SARA - Preparedness Tracker,4/1/2018,
SARA - Preparedness Tracker,5/1/2018,
SARA - Preparedness Tracker,6/1/2018,
SARA - Preparedness Tracker,7/1/2018,
SARA - Preparedness Tracker,8/1/2018,
SARA - Preparedness Tracker,9/1/2018,
SARA - Preparedness Tracker,10/1/2018,
SARA - Preparedness Tracker,11/1/2018,
SARA - Preparedness Tracker,12/1/2018,
SARA - Preparedness Tracker,1/1/2019,
SARA - Preparedness Tracker,2/1/2019,
Saving Lives Together,1/1/2018,15.00
Saving Lives Together,2/1/2018,8.00
Saving Lives Together,3/1/2018,7.00
Saving Lives Together,4/1/2018,19.00
Saving Lives Together,5/1/2018,4.00
Saving Lives Together,6/1/2018,8.00
Saving Lives Together,7/1/2018,19.00
Saving Lives Together,8/1/2018,10.00
Saving Lives Together,9/1/2018,35.00
Saving Lives Together,10/1/2018,34.00
Saving Lives Together,11/1/2018,29.00
Saving Lives Together,12/1/2018,22.00
Saving Lives Together,1/1/2019,16.00
Saving Lives Together,2/1/2019,16.00
Centre for Humanitarian Data,1/1/2018,"2,665.00"
Centre for Humanitarian Data,2/1/2018,"1,345.00"
Centre for Humanitarian Data,3/1/2018,"13,789.00"
Centre for Humanitarian Data,4/1/2018,"1,729.00"
Centre for Humanitarian Data,5/1/2018,"1,517.00"
Centre for Humanitarian Data,6/1/2018,"1,890.00"
Centre for Humanitarian Data,7/1/2018,"1,564.00"
Centre for Humanitarian Data,8/1/2018,"1,087.00"
Centre for Humanitarian Data,9/1/2018,"1,019.00"
Centre for Humanitarian Data,10/1/2018,"1,677.00"
Centre for Humanitarian Data,11/1/2018,"1,170.00"
Centre for Humanitarian Data,12/1/2018,"1,744.00"
Centre for Humanitarian Data,1/1/2019,"1,523.00"
Centre for Humanitarian Data,2/1/2019,"5,561.00"
SMART - Surge Capacity,1/1/2018,
SMART - Surge Capacity,2/1/2018,
SMART - Surge Capacity,3/1/2018,
SMART - Surge Capacity,4/1/2018,
SMART - Surge Capacity,5/1/2018,
SMART - Surge Capacity,6/1/2018,
SMART - Surge Capacity,7/1/2018,
SMART - Surge Capacity,8/1/2018,
SMART - Surge Capacity,9/1/2018,
SMART - Surge Capacity,10/1/2018,
SMART - Surge Capacity,11/1/2018,
SMART - Surge Capacity,12/1/2018,
SMART - Surge Capacity,1/1/2019,
SMART - Surge Capacity,2/1/2019,
Healthy Field Worker,1/1/2018,131.00
Healthy Field Worker,2/1/2018,251.00
Healthy Field Worker,3/1/2018,247.00
Healthy Field Worker,4/1/2018,158.00
Healthy Field Worker,5/1/2018,35.00
Healthy Field Worker,6/1/2018,442.00
Healthy Field Worker,7/1/2018,112.00
Healthy Field Worker,8/1/2018,229.00
Healthy Field Worker,9/1/2018,232.00
Healthy Field Worker,10/1/2018,237.00
Healthy Field Worker,11/1/2018,114.00
Healthy Field Worker,12/1/2018,122.00
Healthy Field Worker,1/1/2019,71.00
Healthy Field Worker,2/1/2019,95.00
Syria Crisis Cross-Border Operations Dashboard,1/1/2018,132.00
Syria Crisis Cross-Border Operations Dashboard,2/1/2018,135.00
Syria Crisis Cross-Border Operations Dashboard,3/1/2018,98.00
Syria Crisis Cross-Border Operations Dashboard,4/1/2018,64.00
Syria Crisis Cross-Border Operations Dashboard,5/1/2018,113.00
Syria Crisis Cross-Border Operations Dashboard,6/1/2018,77.00
Syria Crisis Cross-Border Operations Dashboard,7/1/2018,103.00
Syria Crisis Cross-Border Operations Dashboard,8/1/2018,68.00
Syria Crisis Cross-Border Operations Dashboard,9/1/2018,54.00
Syria Crisis Cross-Border Operations Dashboard,10/1/2018,76.00
Syria Crisis Cross-Border Operations Dashboard,11/1/2018,46.00
Syria Crisis Cross-Border Operations Dashboard,12/1/2018,76.00
Syria Crisis Cross-Border Operations Dashboard,1/1/2019,53.00
Syria Crisis Cross-Border Operations Dashboard,2/1/2019,46.00
Taxonomy Service,1/1/2018,49.00
Taxonomy Service,2/1/2018,84.00
Taxonomy Service,3/1/2018,121.00
Taxonomy Service,4/1/2018,77.00
Taxonomy Service,5/1/2018,96.00
Taxonomy Service,6/1/2018,49.00
Taxonomy Service,7/1/2018,52.00
Taxonomy Service,8/1/2018,130.00
Taxonomy Service,9/1/2018,69.00
Taxonomy Service,10/1/2018,82.00
Taxonomy Service,11/1/2018,68.00
Taxonomy Service,12/1/2018,83.00
Taxonomy Service,1/1/2019,69.00
Taxonomy Service,2/1/2019,77.00
UNDAC 25 years Ready to Go,1/1/2018,0.00
UNDAC 25 years Ready to Go,2/1/2018,10.00
UNDAC 25 years Ready to Go,3/1/2018,"1,113.00"
UNDAC 25 years Ready to Go,4/1/2018,331.00
UNDAC 25 years Ready to Go,5/1/2018,"1,375.00"
